2026-07-29 10:32:02 [    INFO] Verifying negative case of Artist API
2026-07-29 10:32:03 [    INFO] ********************************************************************************
2026-07-29 10:32:03 [    INFO] Request URL: https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaabc
2026-07-29 10:32:03 [    INFO] Request Method: GET
2026-07-29 10:32:03 [    INFO] Status Code: 403
2026-07-29 10:32:03 [    INFO] Request Body: None
2026-07-29 10:32:03 [    INFO] Response Headers: {'cache-control': 'private, max-age=0', 'content-encoding': 'gzip', 'server-timing': 'edge;dur=5', 'strict-transport-security': 'max-age=31536000', 'x-content-type-options': 'nosniff', 'alt-svc': 'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000, h3=":443"; ma=2592000', 'date': 'Wed, 29 Jul 2026 10:32:02 GMT', 'server': 'envoy', 'via': 'HTTP/2 edgeproxy, 1.1 google', 'Transfer-Encoding': 'chunked'}
2026-07-29 10:32:03 [    INFO] Skipping response JSON
2026-07-29 10:32:03 [    INFO] ********************************************************************************
